Street,City,State,State_name,Zip_code,LON,LAT
MCKNIGHT RD,PITTSBURGH,PA,Pennsylvania,15237,-80.0135,40.5433
PERRY HWY,WEXFORD,PA,Pennsylvania,15090,-80.0544,40.614
SAINT FRANCIS WAY,CRANBERRY TWP,PA,Pennsylvania,16066,-80.0998,40.6817
ADAMS SHOPPES,MARS,PA,Pennsylvania,16046,-80.0538,40.6882
BUTLER ST,ETNA,PA,Pennsylvania,15223,-79.9434,40.5008
MCKNIGHT RD,PITTSBURGH,PA,Pennsylvania,15237,-80.0108,40.5367
ALLEGHENY RIVER BLVD,VERONA,PA,Pennsylvania,15147,-79.8432,40.5004
PITTSBURGH ST,CHESWICK,PA,Pennsylvania,15024,-79.8011,40.5408
WILLIAM FLYNN HWY,ALLISON PARK,PA,Pennsylvania,15101,-79.9479,40.6016
PERRY HWY,HARMONY,PA,Pennsylvania,16037,-80.137,40.8038
PITTSBURGH RD,BUTLER,PA,Pennsylvania,16001,-79.9192,40.8412
W CUNNINGHAM ST,BUTLER,PA,Pennsylvania,16001,-79.9032,40.8614
W CUNNINGHAM ST,BUTLER,PA,Pennsylvania,16001,-79.9013,40.86
SOUTH AVE,YOUNGSTOWN,OH,Ohio,44514,-80.6328,40.99
YOUNGSTOWN POLAND RD,YOUNGSTOWN,OH,Ohio,44514,-80.6163,41.0599
N MAIN ST,HUBBARD,OH,Ohio,44425,-80.5689,41.1676
N JEFFERSON ST,NEW CASTLE,PA,Pennsylvania,16101,-80.3477,41.0037
S HERMITAGE RD,HERMITAGE,PA,Pennsylvania,16148,-80.4512,41.2282
HADLEY RD,GREENVILLE,PA,Pennsylvania,16125,-80.3643,41.4115
W MAIN ST,GROVE CITY,PA,Pennsylvania,16127,-80.0953,41.1626
ATLANTIC AVE,FRANKLIN,PA,Pennsylvania,16323,-79.8324,41.4037
SALTSBURG RD,PITTSBURGH,PA,Pennsylvania,15235,-79.7876,40.4774
FREEPORT RD,NATRONA HEIGHTS,PA,Pennsylvania,15065,-79.71,40.6421
LEECHBURG RD,NEW KENSINGTON,PA,Pennsylvania,15068,-79.738,40.59
HYDE PARK RD,LEECHBURG,PA,Pennsylvania,15656,-79.6038,40.6072
HILLTOP PLZ,KITTANNING,PA,Pennsylvania,16201,-79.5428,40.8129
S 7TH ST,INDIANA,PA,Pennsylvania,15701,-79.1539,40.6179
LOCUST ST,INDIANA,PA,Pennsylvania,15701,-79.1439,40.6176
ROUTE 119,PUNXSUTAWNEY,PA,Pennsylvania,15767,-78.983,40.9278
ROUTE 68,CLARION,PA,Pennsylvania,16214,-79.3924,41.1927
SENECA ST,OIL CITY,PA,Pennsylvania,16301,-79.7081,41.4409
PO BOX 230,SHIPPENVILLE,PA,Pennsylvania,16254,-79.4552,41.261
ALLEGHENY BLVD,BROOKVILLE,PA,Pennsylvania,15825,-79.0991,41.1747
